(90, 350)
(164, 299)
(255, 269)
(349, 238)
(443, 207)
(535, 177)
(628, 146)
(719, 116)
(763, 112)
(694, 169)
(627, 226)
(558, 284)
(490, 340)
(421, 398)
(353, 456)
(284, 513)
(216, 571)
(148, 628)
(117, 699)
(148, 792)
(179, 885)
(232, 884)
(301, 826)
(369, 769)
(438, 711)
(506, 653)
(574, 596)
(642, 540)
(711, 482)
(780, 424)
(847, 367)
(916, 310)
(985, 252)
(1054, 194)
(1121, 137)
(1151, 222)
(1179, 310)
(1201, 397)
(1133, 454)
(1064, 512)
(996, 569)
(927, 626)
(860, 683)
(792, 740)
(723, 798)
(655, 855)
(586, 912)
(518, 970)
(449, 1028)
(381, 1085)
(312, 1143)
(289, 1216)
(335, 1354)
(352, 1405)
(411, 1386)
(480, 1328)
(548, 1271)
(616, 1214)
(684, 1157)
(753, 1099)
(822, 1042)
(889, 985)
(958, 927)
(1026, 870)
(1094, 813)
(1163, 755)
(1232, 697)
(1294, 662)
(1322, 750)
(1351, 839)
(1355, 920)
(1286, 978)
(1219, 1035)
(1150, 1092)
(1082, 1150)
(1013, 1207)
(945, 1264)
(876, 1322)
(808, 1380)
(739, 1437)
(671, 1494)
(602, 1552)
(533, 1610)
(465, 1667)
(467, 1749)
(496, 1836)
(526, 1926)
(589, 1889)
(657, 1832)
(725, 1775)
(793, 1718)
(862, 1661)
(930, 1603)
(998, 1546)
(1066, 1489)
(1135, 1431)
(1203, 1374)
(1272, 1316)
(1341, 1259)
(1408, 1202)
(1465, 1189)
(1493, 1277)
(1522, 1366)
(1512, 1441)
(1444, 1499)
(1376, 1556)
(1307, 1613)
(1239, 1670)
(1170, 1728)
(1102, 1785)
(1034, 1842)
(966, 1900)
(897, 1957)
(919, 1963)
(1006, 1932)
(1093, 1901)
(1180, 1870)
(1267, 1838)
(1354, 1807)
(1441, 1776)
(1530, 1744)
(1602, 1692)
